wallet,chain,new_amount
0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,base,32505.31
0x70997970c51812dc3a010c7d01b50e0d17dc79c8,rh,1000
0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,base,0.000000000000000001
0x90f79bf6eb2c4f870365e785982e1f101e93b906,base,12500000
0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,rh,0.5
0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,base,999999.999999999999999999
0x976EA74026E726554dB657fA54763abd0C3a0aa9,rh,1
0x14dc79964da2c08b23698b3d3cc7ca32193d9955,base,250.25
0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,rh,7777.7777
0xa0ee7a142d267c1f36714e4a8f75612f20a79720,base,42
